Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 111.0.0.0,,,2023-03-12 15:43:12,2023-03-12 15:44:16,1m - 4.267s,PASSED
,,,,,,,
Test Cases/TC03_Dropdown,Chrome 111.0.0.0,,,2023-03-12 15:43:12,2023-03-12 15:43:22,9.253s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-12 15:43:13,2023-03-12 15:43:15,2.243s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 111.0.0.0,,,2023-03-12 15:43:15,2023-03-12 15:43:18,3.416s,PASSED
"click(findTestObject(""Object Repository/Page_Dropdown/a_Dropdown""))",Chrome 111.0.0.0,,,2023-03-12 15:43:18,2023-03-12 15:43:19,0.863s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Dropdown/select_Please select an option    Option 1 _a93200""), ""1"", true)",Chrome 111.0.0.0,,,2023-03-12 15:43:19,2023-03-12 15:43:20,0.834s,PASSED
"verifyOptionSelectedByLabel(findTestObject(""Page_Dropdown/select_Please select an option    Option 1 _a93200""), ""Option 1"", false, G_ShortTimeOut)",Chrome 111.0.0.0,,,2023-03-12 15:43:20,2023-03-12 15:43:21,1.563s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-12 15:43:21,2023-03-12 15:43:22,0.102s,PASSED
,,,,,,,
Test Cases/TC02_FormAuthInvalid,Chrome 111.0.0.0,,,2023-03-12 15:43:22,2023-03-12 15:43:33,11.281s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-12 15:43:22,2023-03-12 15:43:23,1.295s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 111.0.0.0,,,2023-03-12 15:43:23,2023-03-12 15:43:29,5.711s,PASSED
"click(findTestObject(""Page_Form/a_Form Authentication""))",Chrome 111.0.0.0,,,2023-03-12 15:43:29,2023-03-12 15:43:30,1.409s,PASSED
"setText(findTestObject(""Page_Form/input_Username_username""), ""tomsmith"")",Chrome 111.0.0.0,,,2023-03-12 15:43:30,2023-03-12 15:43:31,0.900s,PASSED
"setEncryptedText(findTestObject(""Page_Form/input_Password_password""), ""HYgoh8+fSawe6uICC60QVw=="")",Chrome 111.0.0.0,,,2023-03-12 15:43:31,2023-03-12 15:43:31,0.351s,PASSED
