Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 111.0.0.0,,,2023-03-12 15:40:31,2023-03-12 15:40:34,3.275s,PASSED
"click(findTestObject(""Object Repository/Page_DragDrop/a_Drag and Drop""))",Chrome 111.0.0.0,,,2023-03-12 15:40:34,2023-03-12 15:40:35,0.902s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DragDrop/header_A""), G_ShortTimeOut)",Chrome 111.0.0.0,,,2023-03-12 15:40:35,2023-03-12 15:40:35,0.371s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-12 15:40:35,2023-03-12 15:40:36,0.097s,PASSED
,,,,,,,
Test Cases/TC05_Alerts,Chrome 111.0.0.0,,,2023-03-12 15:40:36,2023-03-12 15:40:45,9.202s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-12 15:40:36,2023-03-12 15:40:37,1.257s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 111.0.0.0,,,2023-03-12 15:40:37,2023-03-12 15:40:40,3.240s,PASSED
"click(findTestObject(""Object Repository/Page_Alerts/a_JavaScript Alerts""))",Chrome 111.0.0.0,,,2023-03-12 15:40:40,2023-03-12 15:40:41,0.822s,PASSED
"click(findTestObject(""Object Repository/Page_Alerts/button_Click for JS Alert""))",Chrome 111.0.0.0,,,2023-03-12 15:40:41,2023-03-12 15:40:42,0.538s,PASSED
acceptAlert(),Chrome 111.0.0.0,,,2023-03-12 15:40:42,2023-03-12 15:40:42,0.016s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Alerts/p_You successfully clicked an alert""), G_ShortTimeOut)",Chrome 111.0.0.0,,,2023-03-12 15:40:42,2023-03-12 15:40:43,1.210s,PASSED
"click(findTestObject(""Object Repository/Page_Alerts/button_Click for JS Confirm""))",Chrome 111.0.0.0,,,2023-03-12 15:40:43,2023-03-12 15:40:43,0.465s,PASSED
acceptAlert(),Chrome 111.0.0.0,,,2023-03-12 15:40:43,2023-03-12 15:40:43,0.036s,PASSED
"verifyElementPresent(findTestObject(""Page_Alerts/p_You clicked Ok""), G_ShortTimeOut)",Chrome 111.0.0.0,,,2023-03-12 15:40:43,2023-03-12 15:40:44,0.417s,PASSED
"click(findTestObject(""Object Repository/Page_Alerts/button_Click for JS Prompt""))",Chrome 111.0.0.0,,,2023-03-12 15:40:44,2023-03-12 15:40:44,0.344s,PASSED
driver = getWebDriver(),Chrome 111.0.0.0,,,2023-03-12 15:40:44,2023-03-12 15:40:44,0.006s,PASSED
"alert().sendKeys(""imam"")",Chrome 111.0.0.0,"Passing the text in the text box in the Alert
",,2023-03-12 15:40:44,2023-03-12 15:40:44,0.019s,PASSED
acceptAlert(),Chrome 111.0.0.0,,,2023-03-12 15:40:44,2023-03-12 15:40:44,0.034s,PASSED
"verifyElementPresent(findTestObject(""Page_Alerts/p_You entered imam""), G_ShortTimeOut)",Chrome 111.0.0.0,,,2023-03-12 15:40:44,2023-03-12 15:40:45,0.427s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-12 15:40:45,2023-03-12 15:40:45,0.101s,PASSED
