Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 111.0.0.0,,,2023-03-12 15:35:29,2023-03-12 15:36:29,59.867s,FAILED
,,,,,,,
Test Cases/TC03_Dropdown,Chrome 111.0.0.0,,,2023-03-12 15:35:29,2023-03-12 15:35:39,9.642s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-12 15:35:29,2023-03-12 15:35:32,2.317s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 111.0.0.0,,,2023-03-12 15:35:32,2023-03-12 15:35:35,3.295s,PASSED
"click(findTestObject(""Object Repository/Page_Dropdown/a_Dropdown""))",Chrome 111.0.0.0,,,2023-03-12 15:35:35,2023-03-12 15:35:36,0.753s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Dropdown/select_Please select an option    Option 1 _a93200""), ""1"", true)",Chrome 111.0.0.0,,,2023-03-12 15:35:36,2023-03-12 15:35:37,1.070s,PASSED
"verifyOptionSelectedByLabel(findTestObject(""Page_Dropdown/select_Please select an option    Option 1 _a93200""), ""Option 1"", false, G_ShortTimeOut)",Chrome 111.0.0.0,,,2023-03-12 15:35:37,2023-03-12 15:35:39,1.795s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-12 15:35:39,2023-03-12 15:35:39,0.102s,PASSED
,,,,,,,
Test Cases/TC02_FormAuthInvalid,Chrome 111.0.0.0,,,2023-03-12 15:35:39,2023-03-12 15:35:48,9.448s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-12 15:35:39,2023-03-12 15:35:40,1.303s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 111.0.0.0,,,2023-03-12 15:35:40,2023-03-12 15:35:44,3.206s,PASSED
"click(findTestObject(""Page_Form/a_Form Authentication""))",Chrome 111.0.0.0,,,2023-03-12 15:35:44,2023-03-12 15:35:45,1.679s,PASSED
